# Total velocity (m/s),Air temperature (K),Air pressure (Pa),Mach number (​)
202.588,272.59,7.57e4,0.612
201.666,272.524,7.561e4,0.61
200.75,272.459,7.551e4,0.607
199.837,272.394,7.541e4,0.604
198.93,272.329,7.532e4,0.602
198.027,272.265,7.522e4,0.599
197.128,272.201,7.513e4,0.596
196.234,272.137,7.503e4,0.594
195.344,272.074,7.494e4,0.591
194.459,272.01,7.485e4,0.589
193.577,271.947,7.475e4,0.586
192.7,271.885,7.466e4,0.583
191.827,271.822,7.457e4,0.581
190.959,271.76,7.449e4,0.578
190.094,271.698,7.44e4,0.576
189.234,271.637,7.431e4,0.573
188.377,271.576,7.423e4,0.571
187.524,271.515,7.414e4,0.568
186.675,271.454,7.405e4,0.566
185.83,271.394,7.397e4,0.563
184.989,271.333,7.389e4,0.561
184.151,271.273,7.38e4,0.558
183.317,271.214,7.372e4,0.556
182.486,271.155,7.363e4,0.553
181.66,271.095,7.355e4,0.551
180.836,271.037,7.347e4,0.548
180.017,270.978,7.339e4,0.546
179.201,270.92,7.33e4,0.544
178.388,270.862,7.322e4,0.541
177.579,270.804,7.314e4,0.539
176.774,270.747,7.306e4,0.536
175.971,270.689,7.298e4,0.534
175.172,270.632,7.29e4,0.532
174.376,270.576,7.282e4,0.529
173.584,270.519,7.274e4,0.527
172.794,270.463,7.266e4,0.525
172.008,270.407,7.258e4,0.522
171.225,270.352,7.25e4,0.52
170.445,270.296,7.243e4,0.518
169.668,270.241,7.235e4,0.515
168.894,270.186,7.227e4,0.513
168.123,270.131,7.219e4,0.511
167.355,270.077,7.212e4,0.508
166.59,270.023,7.204e4,0.506
165.828,269.969,7.196e4,0.504
165.069,269.915,7.189e4,0.502
164.313,269.862,7.181e4,0.499
163.559,269.809,7.174e4,0.497
162.809,269.756,7.166e4,0.495
162.061,269.703,7.159e4,0.493
161.315,269.651,7.152e4,0.491
160.573,269.598,7.144e4,0.488
159.833,269.546,7.137e4,0.486
159.095,269.495,7.13e4,0.484
158.36,269.443,7.122e4,0.482
157.628,269.392,7.115e4,0.48
156.899,269.341,7.108e4,0.477
156.172,269.29,7.101e4,0.475
155.448,269.24,7.094e4,0.473
154.726,269.189,7.087e4,0.471
154.007,269.139,7.08e4,0.469
153.29,269.089,7.073e4,0.467
152.575,269.04,7.066e4,0.464
151.863,268.99,7.059e4,0.462
151.153,268.941,7.052e4,0.46
150.446,268.892,7.045e4,0.458
149.74,268.844,7.038e4,0.456
149.037,268.795,7.031e4,0.454
148.337,268.747,7.025e4,0.452
147.639,268.699,7.018e4,0.45
146.943,268.651,7.011e4,0.448
146.249,268.604,7.005e4,0.446
145.557,268.556,6.998e4,0.444
144.868,268.509,6.992e4,0.442
144.18,268.463,6.986e4,0.439
143.495,268.416,6.98e4,0.437
142.812,268.369,6.973e4,0.435
142.131,268.323,6.967e4,0.433
141.452,268.277,6.961e4,0.431
140.775,268.232,6.955e4,0.429
140.1,268.186,6.949e4,0.427
139.427,268.141,6.943e4,0.425
138.756,268.096,6.937e4,0.423
138.087,268.051,6.931e4,0.421
137.42,268.006,6.925e4,0.419
136.754,267.962,6.919e4,0.417
136.091,267.917,6.913e4,0.415
135.43,267.873,6.907e4,0.413
134.771,267.83,6.901e4,0.411
134.113,267.786,6.895e4,0.409
133.458,267.743,6.89e4,0.407
132.804,267.699,6.884e4,0.405
132.152,267.656,6.878e4,0.403
131.501,267.614,6.872e4,0.401
130.853,267.571,6.867e4,0.399
130.206,267.529,6.861e4,0.398
129.561,267.487,6.855e4,0.396
128.917,267.445,6.85e4,0.394
128.276,267.403,6.844e4,0.392
127.636,267.362,6.839e4,0.39
126.997,267.32,6.833e4,0.388
126.361,267.279,6.828e4,0.386
125.726,267.239,6.822e4,0.384
125.093,267.198,6.817e4,0.382
124.461,267.157,6.811e4,0.38
123.831,267.117,6.806e4,0.378
123.202,267.077,6.801e4,0.377
122.575,267.037,6.795e4,0.375
121.95,266.998,6.79e4,0.373
121.326,266.958,6.785e4,0.371
120.704,266.919,6.779e4,0.369
120.083,266.88,6.774e4,0.367
119.464,266.841,6.769e4,0.365
118.846,266.803,6.764e4,0.364
118.229,266.764,6.759e4,0.362
